,train_accuracy,val_accuracy,test_accuracy,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall
baseline,1.0,0.7541,0.4528,1.0,0.7627,0.4528,1.0,0.7377,0.4528
model_1,1.0,0.7541,0.4403,1.0,0.7541,0.4403,1.0,0.7541,0.4403
model_2,1.0,0.7049,0.4591,1.0,0.7049,0.4679,1.0,0.7049,0.4591
model_3,0.7976,0.7213,0.4151,0.7976,0.7333,0.4231,0.7976,0.7213,0.4151
model_4,0.996,0.7377,0.5094,1.0,0.75,0.5094,0.996,0.7377,0.5094
model_5,0.8333,0.6885,0.4528,0.8462,0.7069,0.4631,0.8294,0.6721,0.434
model_6,0.996,0.8033,0.5409,0.996,0.8033,0.5478,0.996,0.8033,0.5409
model_7,1.0,0.8197,0.566,1.0,0.8197,0.5633,1.0,0.8197,0.5597
model_8,0.8135,0.3443,0.0,0.8455,0.3333,0.0,0.7817,0.2951,0.0
model_9,0.996,0.3443,0.0,0.996,0.3333,0.0,0.996,0.3279,0.0
model_10,0.8095,0.377,0.0,0.8458,0.3529,0.0,0.7619,0.2951,0.0
model_11,1.0,0.3115,0.0,1.0,0.322,0.0,1.0,0.3115,0.0
model_12,0.9643,0.8197,0.6541,0.9758,0.8448,0.6733,0.9603,0.8033,0.6352
model_13,0.9524,0.7869,0.6855,0.9524,0.8136,0.6859,0.9524,0.7869,0.673
model_14,0.746,0.6557,0.5597,0.788,0.7292,0.6609,0.6786,0.5738,0.478
model_15,0.75,0.6885,0.6352,0.787,0.74,0.6741,0.6746,0.6066,0.5723
model_16,,,,,,,,,
model_17,,,,,,,,,
model_18,,,,,,,,,
model_19,,,,,,,,,
model_20,,,,,,,,,
