,Model,train_accuracy,val_accuracy,test_accuracy,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall
0,baseline,0.8846,0.5526,0.5526,0.9013,0.5467,0.5467,0.8782,0.5395,0.5395
1,model_1,1.0,0.6053,0.6053,1.0,0.6053,0.6053,1.0,0.6053,0.6053
2,model_2,0.9744,0.5921,0.5921,0.9837,0.6,0.6,0.9679,0.5921,0.5921
3,model_3,0.5801,0.4737,0.4737,0.582,0.48,0.48,0.5801,0.4737,0.4737
4,model_4,0.6603,0.5658,0.5658,0.7706,0.6129,0.6129,0.5385,0.5,0.5
5,model_5,0.6186,0.3816,0.3816,0.7543,0.4878,0.4878,0.4231,0.2632,0.2632
6,model_6,1.0,0.6579,0.6579,1.0,0.6757,0.6757,1.0,0.6579,0.6579
7,model_7,0.9872,0.75,0.75,0.9871,0.7703,0.7703,0.984,0.75,0.75
8,model_8,0.6538,0.3816,0.0,0.8136,0.4286,0.0,0.4615,0.1974,0.0
9,model_9,0.9936,0.3684,0.0,0.9935,0.3636,0.0,0.9872,0.3158,0.0
10,model_10,0.4872,0.4474,0.0,0.5852,0.45,0.0,0.2532,0.1184,0.0
11,model_11,0.9647,0.3026,0.0,0.9772,0.3,0.0,0.9615,0.2763,0.0
12,model_12,0.8205,0.5789,0.7237,0.8679,0.6949,0.7727,0.7372,0.5395,0.6711
13,model_13,0.625,0.6447,0.6316,0.8378,0.6818,0.6809,0.4968,0.3947,0.4211
14,model_14,0.6763,0.5526,0.5921,0.768,0.8333,0.7368,0.4776,0.3947,0.3684
15,model_15,0.6667,0.5132,0.4868,0.8049,0.6038,0.5556,0.5288,0.4211,0.3947
16,model_16,0.9038,0.7237,0.7368,0.9356,0.7647,0.75,0.8846,0.6842,0.7105
17,model_17,0.734,0.6053,0.6053,0.8912,0.623,0.65,0.4199,0.5,0.5132
